stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1355323,,"Loughborough Dr @ M St ","",37.322627,-120.478719,,,0,,,0,,
1355358,,"El Redondo Dr @ Jenner Dr (northbound)","",37.334308,-120.495191,,,0,,,0,,
1355359,,"Village Terrace Landing Apts (southbound)","",37.335293,-120.486481,,,0,,,0,,
1355478,,"Loughborough Dr & M St (westbound)","",37.322786,-120.478799,,,0,,,0,,
1356164,,"Fair Grounds (southbound)","",37.293683,-120.478925,,,0,,,0,,
1356870,,"Main St @ Davis St (southbound)","",37.389817,-120.721193,,,0,,,0,,
1356871,,"Main St @ Crowell St (northbound)","",37.38935,-120.721225,,,0,,,0,,
1357886,,"Langtry Ave (westbound)","",37.326327,-120.551691,,,0,,,0,,
1357887,,"Gurr Rd @ Valley Dr (northbound)","",37.330754,-120.558836,,,0,,,0,,
1357888,,"Gurr Rd @ Valley Dr (southbound)","",37.330848,-120.55897600000004,,,0,,,0,,
1357889,,"Langtry Ave (eastbound)","",37.32628,-120.551782,,,0,,,0,,
1360037,,"W 15th @ P St (westbound)","",37.301226,-120.490238,,,0,,,0,,
1360600,,"Dollar General (northbound)","",37.386859,-120.61213700000002,,,0,,,0,,
1360603,,"DMV (eastbound)","",37.301233,-120.498012,,,0,,,0,,
1360605,,"Meadows @ Olive (northbound)","",37.319558,-120.490362,,,0,,,0,,
1361048,,"K St @ 24th St (southbound)","",37.307467,-120.478091,,,0,,,0,,
1361925,,"Los Banos Community Center (Westbound)","",37.062276,-120.845205,,,0,,,0,,
2230420,,"Castle H.S.A. (to Atwater/Winton)","",37.362001,-120.572212,,,0,,,0,,
2230689,,"Castle Clinic (to Atwater/Winton)","",37.366048,-120.57806,,,0,,,0,,
2230693,,"Castle H.S.A. (To Merced)","",37.362038,-120.572183,,,0,,,0,,
2230694,,"Castle Clinic (to Merced)","",37.366039,-120.578104,,,0,,,0,,
2231795,,"Foster Farms (To Livingston)","",37.391319,-120.72254,,,0,,,0,,
2231866,,"Foster Farms (To Merced)","",37.391357,-120.722634,,,0,,,0,,
2233639,,"Sunny View Apartments","",37.290291,-120.475192,,,0,,,0,,
2234864,,"Food 4 /Dollar Tree (To Los Banos)","",37.05799,-120.822712,,,0,,,0,,
2234865,,"Food 4 Less / Dollar Tree (To Merced","",37.05797,-120.82271,,,0,,,0,,
2236550,,"Merced College (To UC Merced)","",37.334508,-120.477938,,,0,,,0,,
349705,,"G St @ Olive/Save Mart","",37.317462,-120.469444,,,0,,,0,,
349795,,"Mercy Medical Center","",37.338811,-120.467083,,,0,,,0,,
349823,,"Merced College","",37.334606,-120.477979,,,0,,,0,,
349995,,"Alexander @ Aspen","",37.315636,-120.456301,,,0,,,0,,
349996,,"Parsons @ Alexander","",37.315922,-120.451124,,,0,,,0,,
350006,,"Yosemite Av @ Dove","",37.332183,-120.456349,,,0,,,0,,
350007,,"Yosemite Av @ Paulson","",37.332226,-120.4596,,,0,,,0,,
